scenario,year,scope,assumption,metric,unit,conditioning_scope,evidence_status,deterministic,mean,median,lower,upper,standard_deviation,interval_interpretation
denominator_low,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed low factor,expected_people,people,expressed cases in modelled diabetes scope,synthetic_assumption,1600.0,1607.213834264965,1341.5540317096938,196.39413638835194,4473.595007506841,1123.1384942897557,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_low,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed low factor,detected_people,people,modelled detected cases; not observed diagnoses,synthetic_assumption,960.0,961.335767019103,779.7095519114773,105.55525258602883,2871.784093638227,734.9827009294057,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_low,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed low factor,undetected_people,people,modelled undetected expressed cases,synthetic_assumption,640.0,645.8780672458622,500.6857039746544,58.334012992677465,2060.579922681188,534.7412848371143,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_low,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed low factor,assumed_delay_given_detection_years,years,assumed historical conditional delay,synthetic_assumption,3.0,3.0055173523403593,2.993747568412708,1.099022665622961,4.903528917456035,1.153076678883083,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_low,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed low factor,treatment_change_people,people,hypothetical change among detected cases; no benefit,synthetic_assumption,384.0,386.3139741860012,288.1416118105454,33.745688330865256,1313.1685421162722,347.5550978955939,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_low,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed low factor,complication_people,people,one hypothetical event at most per case over full year,synthetic_assumption,32.0,32.692575491935266,21.100982271761897,1.5515665530748137,127.95534806745634,36.79046943151981,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_low,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed low factor,annual_cost,synthetic_currency_units,"one full year, constant fictional 2025 prices",synthetic_assumption,3200000.0,3231892.6251698243,2577423.3240684443,347966.7661290752,9735544.877558941,2527363.6436086525,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_high,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed high factor,modelled_denominator,people,model-covered/classified diabetes scope,synthetic_assumption,120000.0,120015.97696552356,120001.87363142995,114126.15575253566,126012.65319807174,3018.7581060537464,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_high,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed high factor,unavailable_denominator,people,diabetes population with unavailable aetiology,synthetic_assumption,0.0,0.0,0.0,0.0,0.0,0.0,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_high,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed high factor,assumed_case_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.02,0.020085320084091213,0.01683046907567076,0.0024616076664430607,0.05575020015704298,0.014012102611498661,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_high,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed high factor,assumed_detected_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.012,0.012014953292877575,0.009757353875265655,0.0013309043478059541,0.03586651270388373,0.009175245344379614,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_high,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed high factor,assumed_undetected_given_case_probability,proportion,assumed conditional on case,synthetic_assumption,0.4,0.40099459818585087,0.3966445852291208,0.1373194196852326,0.7040680881339753,0.14849279039939214,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_high,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed high factor,expected_people,people,expressed cases in modelled diabetes scope,synthetic_assumption,2400.0,2410.820751397447,2012.3310475645403,294.59120458252784,6710.392511260261,1684.7077414346336,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_high,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed high factor,detected_people,people,modelled detected cases; not observed diagnoses,synthetic_assumption,1440.0,1442.0036505286541,1169.5643278672158,158.33287887904325,4307.676140457339,1102.4740513941085,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_high,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed high factor,undetected_people,people,modelled undetected expressed cases,synthetic_assumption,960.0,968.817100868793,751.0285559619817,87.5010194890162,3090.869884021781,802.1119272556714,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_high,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed high factor,assumed_delay_given_detection_years,years,assumed historical conditional delay,synthetic_assumption,3.0,3.0055173523403593,2.993747568412708,1.099022665622961,4.903528917456035,1.153076678883083,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_high,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed high factor,treatment_change_people,people,hypothetical change among detected cases; no benefit,synthetic_assumption,576.0,579.4709612790017,432.2124177158181,50.61853249629788,1969.7528131744084,521.3326468433909,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_high,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed high factor,complication_people,people,one hypothetical event at most per case over full year,synthetic_assumption,48.0,49.038863237902895,31.65147340764284,2.32734982961222,191.93302210118452,55.18570414727971,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_high,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed high factor,annual_cost,synthetic_currency_units,"one full year, constant fictional 2025 prices",synthetic_assumption,4800000.0,4847838.937754735,3866134.9861026667,521950.14919361274,14603317.316338409,3791045.4654129785,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
ascertainment,2025,full fictional diabetes cohort,Perfect detection counterfactual; no causal outcome benefit,modelled_denominator,people,model-covered/classified diabetes scope,synthetic_assumption,100000.0,100013.31413793631,100001.56135952496,95105.12979377972,105010.54433172646,2515.6317550447893,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
ascertainment,2025,full fictional diabetes cohort,Perfect detection counterfactual; no causal outcome benefit,unavailable_denominator,people,diabetes population with unavailable aetiology,synthetic_assumption,0.0,0.0,0.0,0.0,0.0,0.0,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
ascertainment,2025,full fictional diabetes cohort,Perfect detection counterfactual; no causal outcome benefit,assumed_case_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.02,0.020085320084091213,0.01683046907567076,0.0024616076664430607,0.05575020015704298,0.014012102611498661,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
ascertainment,2025,full fictional diabetes cohort,Perfect detection counterfactual; no causal outcome benefit,assumed_detected_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.02,0.020085320084091213,0.01683046907567076,0.0024616076664430607,0.05575020015704298,0.014012102611498661,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
ascertainment,2025,full fictional diabetes cohort,Perfect detection counterfactual; no causal outcome benefit,assumed_undetected_given_case_probability,proportion,assumed conditional on case,synthetic_assumption,0.0,0.0,0.0,0.0,0.0,0.0,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
ascertainment,2025,full fictional diabetes cohort,Perfect detection counterfactual; no causal outcome benefit,expected_people,people,expressed cases in modelled diabetes scope,synthetic_assumption,2000.0,2009.0172928312059,1676.942539637117,245.49267048543993,5591.993759383551,1403.9231178621947,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
ascertainment,2025,full fictional diabetes cohort,Perfect detection counterfactual; no causal outcome benefit,detected_people,people,modelled detected cases; not observed diagnoses,synthetic_assumption,2000.0,2009.0172928312059,1676.942539637117,245.49267048543993,5591.993759383551,1403.9231178621947,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
ascertainment,2025,full fictional diabetes cohort,Perfect detection counterfactual; no causal outcome benefit,undetected_people,people,modelled undetected expressed cases,synthetic_assumption,0.0,0.0,0.0,0.0,0.0,0.0,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
ascertainment,2025,full fictional diabetes cohort,Perfect detection counterfactual; no causal outcome benefit,assumed_delay_given_detection_years,years,assumed historical conditional delay,synthetic_assumption,3.0,3.0055173523403593,2.993747568412708,1.099022665622961,4.903528917456035,1.153076678883083,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
ascertainment,2025,full fictional diabetes cohort,Perfect detection counterfactual; no causal outcome benefit,treatment_change_people,people,hypothetical change among detected cases; no benefit,synthetic_assumption,800.0,806.6736368801039,624.7751493828657,76.2802559996008,2595.8248761845393,673.5383902913863,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
ascertainment,2025,full fictional diabetes cohort,Perfect detection counterfactual; no causal outcome benefit,complication_people,people,one hypothetical event at most per case over full year,synthetic_assumption,40.0,40.86571936491908,26.376227839702366,1.939458191343517,159.94418508432045,45.98808678939976,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
ascertainment,2025,full fictional diabetes cohort,Perfect detection counterfactual; no causal outcome benefit,annual_cost,synthetic_currency_units,"one full year, constant fictional 2025 prices",synthetic_assumption,4000000.0,4039865.78146228,3221779.1550855553,434958.457661344,12169431.096948674,3159204.5545108155,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
carrier_penetrance,2025,full fictional diabetes cohort,Conditional person-carrier expression within diabetes,modelled_denominator,people,model-covered/classified diabetes scope,synthetic_assumption,100000.0,100013.31413793631,100001.56135952496,95105.12979377972,105010.54433172646,2515.6317550447893,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
carrier_penetrance,2025,full fictional diabetes cohort,Conditional person-carrier expression within diabetes,unavailable_denominator,people,diabetes population with unavailable aetiology,synthetic_assumption,0.0,0.0,0.0,0.0,0.0,0.0,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
carrier_penetrance,2025,full fictional diabetes cohort,Conditional person-carrier expression within diabetes,assumed_case_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.02,0.02008147802777734,0.01769885109435388,0.004414746667585561,0.04968017546257801,0.01173261807955636,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
carrier_penetrance,2025,full fictional diabetes cohort,Conditional person-carrier expression within diabetes,assumed_detected_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.012,0.011993210012169903,0.010230448966796448,0.0023242255170860477,0.03220807166842548,0.007762877844860793,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
carrier_penetrance,2025,full fictional diabetes cohort,Conditional person-carrier expression within diabetes,assumed_undetected_given_case_probability,proportion,assumed conditional on case,synthetic_assumption,0.4,0.40099459818585087,0.3966445852291208,0.1373194196852326,0.7040680881339753,0.14849279039939214,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
carrier_penetrance,2025,full fictional diabetes cohort,Conditional person-carrier expression within diabetes,expected_people,people,expressed cases in modelled diabetes scope,synthetic_assumption,2000.0,2008.3489107426271,1770.9526117100363,441.0226688121991,4982.697561353332,1174.6678462674913,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
carrier_penetrance,2025,full fictional diabetes cohort,Conditional person-carrier expression within diabetes,detected_people,people,modelled detected cases; not observed diagnoses,synthetic_assumption,1200.0,1199.404736150466,1022.8633473218782,231.2412673727755,3208.5281827559725,777.202427506767,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
carrier_penetrance,2025,full fictional diabetes cohort,Conditional person-carrier expression within diabetes,undetected_people,people,modelled undetected expressed cases,synthetic_assumption,800.0,808.944174592161,662.3522541215711,117.52556052660066,2349.830422579702,593.3548280683328,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
carrier_penetrance,2025,full fictional diabetes cohort,Conditional person-carrier expression within diabetes,assumed_delay_given_detection_years,years,assumed historical conditional delay,synthetic_assumption,3.0,3.0055173523403593,2.993747568412708,1.099022665622961,4.903528917456035,1.153076678883083,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
carrier_penetrance,2025,full fictional diabetes cohort,Conditional person-carrier expression within diabetes,treatment_change_people,people,hypothetical change among detected cases; no benefit,synthetic_assumption,480.0,481.6421767980373,382.49164283327127,65.09964666778467,1489.3945138094155,376.5735946351401,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
carrier_penetrance,2025,full fictional diabetes cohort,Conditional person-carrier expression within diabetes,complication_people,people,one hypothetical event at most per case over full year,synthetic_assumption,40.0,40.664003307855694,28.381790731128454,2.749210655550218,153.2862807285103,40.378507940137,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
carrier_penetrance,2025,full fictional diabetes cohort,Conditional person-carrier expression within diabetes,annual_cost,synthetic_currency_units,"one full year, constant fictional 2025 prices",synthetic_assumption,4000000.0,4034575.182492188,3407165.0795859657,765708.9642169465,11061888.929377293,2717556.230162097,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
referral_selection,2025,full fictional diabetes cohort,Forward selected fraction only; referral count unavailable,modelled_denominator,people,model-covered/classified diabetes scope,synthetic_assumption,100000.0,100013.31413793631,100001.56135952496,95105.12979377972,105010.54433172646,2515.6317550447893,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
referral_selection,2025,full fictional diabetes cohort,Forward selected fraction only; referral count unavailable,unavailable_denominator,people,diabetes population with unavailable aetiology,synthetic_assumption,0.0,0.0,0.0,0.0,0.0,0.0,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
referral_selection,2025,full fictional diabetes cohort,Forward selected fraction only; referral count unavailable,assumed_case_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.02,0.020085320084091213,0.01683046907567076,0.0024616076664430607,0.05575020015704298,0.014012102611498661,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
referral_selection,2025,full fictional diabetes cohort,Forward selected fraction only; referral count unavailable,assumed_detected_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.012,0.012014953292877575,0.009757353875265655,0.0013309043478059541,0.03586651270388373,0.009175245344379614,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
referral_selection,2025,full fictional diabetes cohort,Forward selected fraction only; referral count unavailable,assumed_undetected_given_case_probability,proportion,assumed conditional on case,synthetic_assumption,0.4,0.40099459818585087,0.3966445852291208,0.1373194196852326,0.7040680881339753,0.14849279039939214,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
referral_selection,2025,full fictional diabetes cohort,Forward selected fraction only; referral count unavailable,expected_people,people,expressed cases in modelled diabetes scope,synthetic_assumption,2000.0,2009.0172928312059,1676.942539637117,245.49267048543993,5591.993759383551,1403.9231178621947,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
referral_selection,2025,full fictional diabetes cohort,Forward selected fraction only; referral count unavailable,detected_people,people,modelled detected cases; not observed diagnoses,synthetic_assumption,1200.0,1201.6697087738785,974.6369398893465,131.94406573253605,3589.7301170477836,918.7283761617571,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
referral_selection,2025,full fictional diabetes cohort,Forward selected fraction only; referral count unavailable,undetected_people,people,modelled undetected expressed cases,synthetic_assumption,800.0,807.3475840573276,625.8571299683181,72.91751624084672,2575.7249033514845,668.4266060463929,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
referral_selection,2025,full fictional diabetes cohort,Forward selected fraction only; referral count unavailable,assumed_delay_given_detection_years,years,assumed historical conditional delay,synthetic_assumption,3.0,3.0055173523403593,2.993747568412708,1.099022665622961,4.903528917456035,1.153076678883083,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
referral_selection,2025,full fictional diabetes cohort,Forward selected fraction only; referral count unavailable,treatment_change_people,people,hypothetical change among detected cases; no benefit,synthetic_assumption,480.0,482.8924677325015,360.1770147631817,42.18211041358157,1641.4606776453402,434.4438723694924,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
referral_selection,2025,full fictional diabetes cohort,Forward selected fraction only; referral count unavailable,complication_people,people,one hypothetical event at most per case over full year,synthetic_assumption,40.0,40.86571936491908,26.376227839702366,1.939458191343517,159.94418508432045,45.98808678939976,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
referral_selection,2025,full fictional diabetes cohort,Forward selected fraction only; referral count unavailable,annual_cost,synthetic_currency_units,"one full year, constant fictional 2025 prices",synthetic_assumption,4000000.0,4039865.78146228,3221779.1550855553,434958.457661344,12169431.096948674,3159204.5545108155,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
referral_selection,2025,full fictional diabetes cohort,Forward selected fraction only; referral count unavailable,selected_fraction,proportion,assumed within selected cohort; count unavailable,synthetic_assumption,0.0392156862745098,0.03901630888941689,0.03310378590506577,0.0049111260605253036,0.10561248273458879,0.02646317970604709,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
age_stratified,2025,full fictional diabetes cohort,Disjoint 0-19 and 20-100 strata; assumed odds multipliers,modelled_denominator,people,model-covered/classified diabetes scope,synthetic_assumption,100000.0,100013.31413793631,100001.56135952496,95105.12979377972,105010.54433172646,2515.6317550447893,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
age_stratified,2025,full fictional diabetes cohort,Disjoint 0-19 and 20-100 strata; assumed odds multipliers,unavailable_denominator,people,diabetes population with unavailable aetiology,synthetic_assumption,0.0,0.0,0.0,0.0,0.0,0.0,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
age_stratified,2025,full fictional diabetes cohort,Disjoint 0-19 and 20-100 strata; assumed odds multipliers,assumed_case_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.0248024802480248,0.02481403679700605,0.020897933911295248,0.0030739844819134363,0.06818669015935147,0.017115903691942772,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
age_stratified,2025,full fictional diabetes cohort,Disjoint 0-19 and 20-100 strata; assumed odds multipliers,assumed_detected_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.014881488148814879,0.014843401160315415,0.012109382492872587,0.0016584621725361836,0.04390778119002198,0.01121842643412239,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
age_stratified,2025,full fictional diabetes cohort,Disjoint 0-19 and 20-100 strata; assumed odds multipliers,assumed_undetected_given_case_probability,proportion,assumed conditional on case,synthetic_assumption,0.4,0.40099459818585087,0.3966445852291208,0.1373194196852326,0.7040680881339753,0.14849279039939214,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
